2026-03-16 17:43:28, MOVE, v:1, k:fup@segundos, mode:PICK
2026-03-16 17:43:35, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:5
2026-03-16 17:43:35, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:5
2026-03-16 17:49:32, EXEC, v:1, k:fup@segundos, mode:FULL, size:8, fail:COMP
2026-03-16 17:50:10, EXEC, v:1, k:fup@segundos, mode:FULL, size:8, fail:COMP
2026-03-16 17:50:39, EXEC, v:1, k:fup@segundos, mode:FULL, size:8, fail:COMP
2026-03-16 17:51:19, EXEC, v:1, k:fup@segundos, mode:FULL, size:8, fail:COMP
2026-03-16 17:51:24, EXEC, v:1, k:fup@segundos, mode:FULL, fail:COMP
2026-03-16 17:52:16, EXEC, v:1, k:fup@segundos, mode:FULL, size:7, fail:COMP
2026-03-16 17:52:29, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:6
2026-03-16 17:52:59, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:7
2026-03-16 17:53:27, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:7
2026-03-16 17:57:19, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:7
2026-03-16 18:00:17, EXEC, v:1, k:fup@segundos, mode:FULL, size:8, fail:COMP
2026-03-16 18:00:28, EXEC, v:1, k:fup@segundos, mode:FULL, size:8, fail:COMP
2026-03-16 18:00:37, EXEC, v:1, k:fup@segundos, mode:FULL, size:8, fail:COMP
2026-03-16 18:02:44, EXEC, v:1, k:fup@segundos, mode:FULL, size:8, fail:COMP
2026-03-16 18:03:17, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:8
2026-03-16 18:06:24, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:9
2026-03-16 18:06:36, EXEC, v:1, k:fup@segundos, mode:FULL, size:9, fail:COMP
2026-03-16 18:06:45, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:9
2026-03-16 18:07:07, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:9
2026-03-16 18:07:18, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:9
2026-03-16 18:07:34, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:9
2026-03-16 18:09:37, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:10
2026-03-16 18:10:13, EXEC, v:1, k:fup@segundos, mode:FULL, size:10, fail:COMP
2026-03-16 18:10:19, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:10
2026-03-16 18:11:02, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:10
2026-03-16 18:12:13, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:9
2026-03-16 18:12:25, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:9
2026-03-16 18:13:15, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:9
2026-03-16 18:13:29, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:9
2026-03-16 18:14:03, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:9
2026-03-16 18:14:17, EXEC, v:1, k:fup@segundos, mode:FULL, size:9, fail:COMP
2026-03-16 18:14:24, EXEC, v:1, k:fup@segundos, mode:FULL, size:9, fail:COMP
2026-03-16 18:14:37, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:9
2026-03-16 18:14:46, EXEC, v:1, k:fup@segundos, mode:FULL, size:9, fail:COMP
2026-03-16 18:14:54, EXEC, v:1, k:fup@segundos, mode:FULL, size:9, fail:COMP
2026-03-16 18:15:02, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:9
2026-03-16 18:15:09, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:9
2026-03-16 18:19:07, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:9
2026-03-16 18:19:34, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:9
2026-03-16 18:20:15, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:9
2026-03-16 18:20:42, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:9
2026-03-16 18:26:12, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:10
